23.10.2023 16:32:02.377 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
23.10.2023 16:32:03.858 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
23.10.2023 16:32:03.923 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
23.10.2023 16:32:03.964 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
23.10.2023 16:32:03.984 [restartedMain] INFO  c.m.n.NewsCrawlerBeApplication - Started NewsCrawlerBeApplication in 10.322 seconds (process running for 11.981)
23.10.2023 16:32:53.326 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
23.10.2023 16:32:53.327 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
23.10.2023 16:32:53.329 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
23.10.2023 17:36:34.686 [http-nio-8080-exec-2] WARN  c.m.n.logging.ConverterLogger - ```yaml
!##EXCEPTION: com.meu.news_crawler_be.converter.Impl.NewsDetailConverterImpl.newsEntityToNewsDetailResponese() !ARGS: [null]!```
23.10.2023 17:36:34.731 [http-nio-8080-exec-2] ERROR c.m.n.logging.ConverterLogger - ||[java.lang.NullPointerException: Cannot invoke "com.meu.news_crawler_be.entity.NewsDetail.getCategory()" because "newsDetail" is null]||
23.10.2023 17:36:34.732 [http-nio-8080-exec-2] WARN  c.m.n.logging.ServiceLogger - ```yaml
!##EXCEPTION: com.meu.news_crawler_be.service.Impl.NewsDetailServiceImpl.findNewsDetailById() !ARGS: [undefined]!```
23.10.2023 17:36:34.732 [http-nio-8080-exec-2] ERROR c.m.n.logging.ServiceLogger - ||[java.lang.NullPointerException: Cannot invoke "com.meu.news_crawler_be.entity.NewsDetail.getCategory()" because "newsDetail" is null]||
23.10.2023 17:36:34.756 [http-nio-8080-exec-2] WARN  c.m.n.logging.ControllerLogger - ```yaml
!##EXCEPTION: com.meu.news_crawler_be.controller.NewsDetailController.findNewsDetail() !ARGS: [undefined]!```
23.10.2023 17:36:34.757 [http-nio-8080-exec-2] ERROR c.m.n.logging.ControllerLogger - ||[java.lang.NullPointerException: Cannot invoke "com.meu.news_crawler_be.entity.NewsDetail.getCategory()" because "newsDetail" is null]||
23.10.2023 17:36:34.776 [http-nio-8080-exec-2] ERROR c.m.n.exception.ExceptionController - ||[java.lang.NullPointerException: Cannot invoke "com.meu.news_crawler_be.entity.NewsDetail.getCategory()" because "newsDetail" is null]||
23.10.2023 17:36:34.791 [http-nio-8080-exec-2] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [java.lang.NullPointerException: Cannot invoke "com.meu.news_crawler_be.entity.NewsDetail.getCategory()" because "newsDetail" is null]
23.10.2023 17:36:36.337 [http-nio-8080-exec-1] WARN  c.m.n.logging.ConverterLogger - ```yaml
!##EXCEPTION: com.meu.news_crawler_be.converter.Impl.NewsDetailConverterImpl.newsEntityToNewsDetailResponese() !ARGS: [null]!```
23.10.2023 17:36:36.338 [http-nio-8080-exec-1] ERROR c.m.n.logging.ConverterLogger - ||[java.lang.NullPointerException: Cannot invoke "com.meu.news_crawler_be.entity.NewsDetail.getCategory()" because "newsDetail" is null]||
23.10.2023 17:36:36.338 [http-nio-8080-exec-1] WARN  c.m.n.logging.ServiceLogger - ```yaml
!##EXCEPTION: com.meu.news_crawler_be.service.Impl.NewsDetailServiceImpl.findNewsDetailById() !ARGS: [undefined]!```
23.10.2023 17:36:36.338 [http-nio-8080-exec-1] ERROR c.m.n.logging.ServiceLogger - ||[java.lang.NullPointerException: Cannot invoke "com.meu.news_crawler_be.entity.NewsDetail.getCategory()" because "newsDetail" is null]||
23.10.2023 17:36:36.339 [http-nio-8080-exec-1] WARN  c.m.n.logging.ControllerLogger - ```yaml
!##EXCEPTION: com.meu.news_crawler_be.controller.NewsDetailController.findNewsDetail() !ARGS: [undefined]!```
23.10.2023 17:36:36.339 [http-nio-8080-exec-1] ERROR c.m.n.logging.ControllerLogger - ||[java.lang.NullPointerException: Cannot invoke "com.meu.news_crawler_be.entity.NewsDetail.getCategory()" because "newsDetail" is null]||
23.10.2023 17:36:36.343 [http-nio-8080-exec-1] ERROR c.m.n.exception.ExceptionController - ||[java.lang.NullPointerException: Cannot invoke "com.meu.news_crawler_be.entity.NewsDetail.getCategory()" because "newsDetail" is null]||
23.10.2023 17:36:36.347 [http-nio-8080-exec-1] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [java.lang.NullPointerException: Cannot invoke "com.meu.news_crawler_be.entity.NewsDetail.getCategory()" because "newsDetail" is null]
23.10.2023 17:59:04.631 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
23.10.2023 17:59:04.698 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
23.10.2023 17:59:04.715 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
23.10.2023 22:08:06.093 [restartedMain] INFO  c.m.n.NewsCrawlerBeApplication - Starting NewsCrawlerBeApplication using Java 17.0.7 with PID 9624 (D:\WORKSPACE\MeU-Solutions\news-crawler\news-crawler-be\target\classes started by Quang Minh in D:\WORKSPACE\MeU-Solutions\news-crawler\news-crawler-be)
23.10.2023 22:08:06.099 [restartedMain] INFO  c.m.n.NewsCrawlerBeApplication - No active profile set, falling back to 1 default profile: "default"
23.10.2023 22:08:06.321 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
23.10.2023 22:08:06.322 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
23.10.2023 22:08:10.484 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
23.10.2023 22:08:10.643 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 141 ms. Found 2 JPA repository interfaces.
23.10.2023 22:08:13.424 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
23.10.2023 22:08:13.435 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
23.10.2023 22:08:13.438 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
23.10.2023 22:08:13.438 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.13]
23.10.2023 22:08:13.560 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
23.10.2023 22:08:13.561 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 7237 ms
23.10.2023 22:08:13.974 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
23.10.2023 22:08:14.066 [restartedMain] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.2.9.Final
23.10.2023 22:08:14.068 [restartedMain] INFO  org.hibernate.cfg.Environment - HHH000406: Using bytecode reflection optimizer
23.10.2023 22:08:14.328 [restartedMain] INFO  o.h.b.i.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
23.10.2023 22:08:14.582 [restartedMain] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
23.10.2023 22:08:14.625 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
23.10.2023 22:08:15.263 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@50337c68
23.10.2023 22:08:15.278 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
23.10.2023 22:08:15.870 [restartedMain] INFO  o.h.b.i.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
23.10.2023 22:08:17.286 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
23.10.2023 22:08:17.457 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
23.10.2023 22:08:18.580 [restartedMain] INFO  o.s.d.j.r.q.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
23.10.2023 22:08:19.385 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
23.10.2023 22:08:20.761 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
23.10.2023 22:08:20.794 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
23.10.2023 22:08:20.820 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
23.10.2023 22:08:20.838 [restartedMain] INFO  c.m.n.NewsCrawlerBeApplication - Started NewsCrawlerBeApplication in 17.468 seconds (process running for 20.107)
23.10.2023 22:12:28.122 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
23.10.2023 22:12:28.128 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
23.10.2023 22:12:28.134 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
23.10.2023 22:12:38.729 [restartedMain] INFO  c.m.n.NewsCrawlerBeApplication - Starting NewsCrawlerBeApplication using Java 17.0.7 with PID 5768 (D:\WORKSPACE\MeU-Solutions\news-crawler\news-crawler-be\target\classes started by Quang Minh in D:\WORKSPACE\MeU-Solutions\news-crawler\news-crawler-be)
23.10.2023 22:12:38.732 [restartedMain] INFO  c.m.n.NewsCrawlerBeApplication - No active profile set, falling back to 1 default profile: "default"
23.10.2023 22:12:38.846 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
23.10.2023 22:12:38.846 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
23.10.2023 22:12:40.349 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
23.10.2023 22:12:40.488 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 126 ms. Found 2 JPA repository interfaces.
23.10.2023 22:12:41.965 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
23.10.2023 22:12:41.977 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
23.10.2023 22:12:41.979 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
23.10.2023 22:12:41.979 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.13]
23.10.2023 22:12:42.071 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
23.10.2023 22:12:42.071 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3220 ms
23.10.2023 22:12:42.352 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
23.10.2023 22:12:42.413 [restartedMain] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.2.9.Final
23.10.2023 22:12:42.416 [restartedMain] INFO  org.hibernate.cfg.Environment - HHH000406: Using bytecode reflection optimizer
23.10.2023 22:12:42.602 [restartedMain] INFO  o.h.b.i.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
23.10.2023 22:12:42.762 [restartedMain] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
23.10.2023 22:12:42.782 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
